Clauses,Stacksig Prover,CDS Prover,Stacksig Verifier,CDS Verifier,Rot256,
2,0.3,0.10374,0.3,0.112,3.4760,
4,0.64893,0.32228,0.64233,0.30266,7,
8,1.8222,1.0206,1.3788,0.94261,10.9,
16,4.2626,3.3897,2.8526,3.1777,15.021,
32,9.3257,12.147,5.9700,11.605,20.069,
64,19.616,46.626,11.705,44.590,37,
128,40.584,178.07,24.474,173.53,37.131,
256,82.243,721.47,47.087,693.89,54.213,
512,165.70,,93.798,,85,
1024,334.63,,190.63,,145.33,
2048,671.82,,375.45,,257.25,
4096,1359.1,,742.17,,482.62,
8192,2685.4,,1477.9,,,
16384,5309.6,,2977.9,,,
32768,10628,,6041.8,,,
65536,21484,,12440,,,
131072,43705,,24617,,,
